date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,target_energy,hour,day,month,day_of_week,is_weekend,week_of_year,hour_sin,hour_cos,lag_10min,lag_20min,lag_30min,lag_1hour,lag_2hours,lag_1day,lag_1week,rolling_mean_30min,rolling_std_30min,rolling_mean_1hour,rolling_std_1hour,rolling_mean_2hours,rolling_std_2hours,T_out_change_1h,RH_out_change_1h
2016-01-18 17:00:00,40,0,19.2,41.2,18.06666666666669,41.56,19.5,40.7,18.7,38.09,17.39,55.0,-0.677777777777778,93.2227777777778,18.82333333333329,34.3633333333333,19.5,41.9,17.1,37.4,-1.2,756.6,82.0,2.0,29.0,-4.0,30.0,17,18,1,0,0,3,-0.9659258262890683,-0.25881904510252063,50.0,40.0,40.0,50.0,50.0,90.0,60.0,43.333333333333336,5.773502691923925,46.666666666666664,5.163977794957587,40.0,10.444659357349359,-0.7,12.0
2016-01-18 17:10:00,40,0,19.2,41.2,18.0,41.5,19.5,40.7,18.6333333333333,38.03,17.4266666666667,54.9666666666667,-1.02666666666667,91.05388888888888,18.79,34.3371428571429,19.445,41.845,17.1,37.29,-1.33333333333333,756.6,82.8333333333333,2.16666666666667,28.166666666666696,-3.9833333333333294,70.0,17,18,1,0,0,3,-0.9659258262890683,-0.25881904510252063,40.0,50.0,40.0,50.0,30.0,130.0,60.0,43.333333333333336,5.773502691923925,45.0,5.4772255750653125,39.166666666666664,9.962049198964117,-0.7166666666666629,10.8333333333333
2016-01-18 17:20:00,40,0,19.2,41.2,18.0,41.5,19.5,40.7,18.6,38.045,17.39,54.79,-1.43,89.29,18.79,34.4,19.434,41.834,17.1,37.29,-1.46666666666667,756.6,83.6666666666667,2.333333333333329,27.3333333333333,-3.966666666666669,230.0,17,18,1,0,0,3,-0.9659258262890683,-0.25881904510252063,40.0,40.0,50.0,50.0,20.0,380.0,50.0,43.333333333333336,5.773502691923925,43.333333333333336,5.163977794957817,40.0,9.534625892464128,-0.733333333333337,9.6666666666667
2016-01-18 17:30:00,40,0,19.2,41.2,17.9266666666667,41.5,19.5,40.7,18.6,38.09,17.42,54.79,-1.69722222222222,88.9388888888889,18.79,34.4,19.39,41.75,17.0666666666667,37.26,-1.6,756.6,84.5,2.5,26.5,-3.95,660.0,17,18,1,0,0,3,-0.9659258262890683,-0.25881904510252063,40.0,40.0,40.0,40.0,30.0,800.0,50.0,40.0,0.0,41.666666666666664,4.082482904657235,41.666666666666664,7.1774056256635035,-0.7500000000000001,8.5
2016-01-18 17:40:00,20,0,19.1333333333333,41.1266666666667,17.89,41.53,19.5,40.7,18.6,38.09,17.39,54.7,-1.86277777777778,88.8494444444444,18.754,34.4,19.39,41.7,17.0,37.2,-1.73333333333333,756.6,85.3333333333333,2.66666666666667,25.666666666666696,-3.9333333333333296,510.0,17,18,1,0,0,3,-0.9659258262890683,-0.25881904510252063,40.0,40.0,40.0,40.0,30.0,790.0,60.0,40.0,0.0,41.666666666666664,4.082482904657235,42.5,6.215815605092971,-0.766666666666663,7.3333333333333
2016-01-18 17:50:00,30,0,19.1,41.1266666666667,17.89,41.59,19.5,40.6633333333333,18.56666666666669,38.1633333333333,17.39,54.678,-1.99888888888889,88.81333333333329,18.7,34.4,19.39,41.7,17.0666666666667,37.2,-1.86666666666667,756.6,86.1666666666667,2.833333333333329,24.8333333333333,-3.9166666666666714,300.0,17,18,1,0,0,3,-0.9659258262890683,-0.25881904510252063,20.0,40.0,40.0,50.0,40.0,540.0,50.0,33.333333333333336,11.547005383806573,38.333333333333336,9.831920802509595,41.666666666666664,8.348471099376475,-0.7833333333333401,6.1666666666667
2016-01-18 18:00:00,30,10,19.1,41.1266666666667,17.89,41.59,19.4266666666667,40.53,18.5,38.09,17.39,54.59,-2.01,89.59166666666668,18.7,34.4,19.3566666666667,41.7,17.0,37.1175,-2.0,756.6,87.0,3.0,24.0,-3.9,300.0,18,18,1,0,0,3,-1.0,-1.8369701987210297e-16,30.0,20.0,40.0,40.0,50.0,120.0,60.0,30.0,10.000000000016318,35.0,8.366600265350115,40.833333333333336,9.003366373793835,-0.8,5.0
2016-01-18 18:10:00,70,10,19.1,41.2,17.8233333333333,41.53,19.39,40.4,18.5,38.1266666666667,17.39,54.59,-2.0,90.1433333333333,18.7,34.5,19.29,41.7,17.0,37.09,-2.083333333333329,756.6,86.3333333333333,3.0,24.0,-4.0833333333333295,350.0,18,18,1,0,0,3,-1.0,-1.8369701987210297e-16,30.0,30.0,20.0,40.0,50.0,110.0,60.0,26.666666666666668,5.773502691924672,33.333333333333336,8.164965809286926,39.166666666666664,9.003366373793938,-0.7499999999999991,3.5
2016-01-18 18:20:00,230,10,19.1,41.0,17.79,41.56,19.39,40.3266666666667,18.5,38.2,17.39,54.5675,-2.035,90.4466666666667,18.7,34.5,19.315,42.0225,17.0,37.1266666666667,-2.16666666666667,756.6,85.6666666666667,3.0,24.0,-4.26666666666667,90.0,18,18,1,0,0,3,-1.0,-1.8369701987210297e-16,70.0,30.0,30.0,40.0,50.0,160.0,60.0,43.333333333333336,23.094010767591946,38.333333333333336,17.224014243689563,40.833333333333336,12.401124093727725,-0.7000000000000002,2.0
2016-01-18 18:30:00,660,10,19.1,40.933333333333294,17.79,41.433333333333294,19.3566666666667,40.2,18.463333333333296,38.1633333333333,17.34,54.5,-2.155,90.7383333333333,18.6,34.59,19.412,42.196,17.0,37.2,-2.25,756.6,85.0,3.0,24.0,-4.45,100.0,18,18,1,0,0,3,-1.0,-1.8369701987210297e-16,230.0,70.0,30.0,40.0,40.0,140.0,70.0,110.0,105.83005244258497,70.0,80.24961059095635,55.833333333333336,56.15859576937459,-0.6499999999999999,0.5
